rank,read_tier,title,year,authors,venue,doi,url,cited_by_count,source_query,concepts,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,relevance_score,hostile_reason,abstract
1,hostile_prior_work,Versatile multicontact planning and control for legged loco-manipulation,2023,Jean-Pierre Sleiman; Farbod Farshidian; Marco Hutter,Science Robotics,10.1126/scirobotics.adg5014,https://doi.org/10.1126/scirobotics.adg5014,65,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,training variation covers deployment mismatch,contact/friction regime,contact-mode changes and localized physical mismatch,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,10,High-priority prior work for boundary checking.,"<jats:p>Loco-manipulation planning skills are pivotal for expanding the utility of robots in everyday environments. These skills can be assessed on the basis of a system’s ability to coordinate complex holistic movements and multiple contact interactions when solving different tasks. However, existing approaches have been merely able to shape such behaviors with hand-crafted state machines, densely engineered rewards, or prerecorded expert demonstrations. Here, we propose a minimally guided framework that automatically discovers whole-body trajectories jointly with contact schedules for solving general loco-manipulation tasks in premodeled environments. The key insight is that multimodal problems of this nature can be formulated and treated within the context of integrated task and motion planning (TAMP). An effective bilevel search strategy was achieved by incorporating domain-specific rules and adequately combining the strengths of different planning techniques: trajectory optimization and informed graph search coupled with sampling-based planning. We showcase emergent behaviors for a quadrupedal mobile manipulator exploiting both prehensile and nonprehensile interactions to perform real-world tasks such as opening/closing heavy dishwashers and traversing spring-loaded doors. These behaviors were also deployed on the real system using a two-layer whole-body tracking controller.</jats:p>"
2,hostile_prior_work,Vision-Guided MPC for Robotic Path Following Using Learned Memory-Augmented Model,2021,Alireza Rastegarpanah; Jamie Hathaway; Rustam Stolkin,Frontiers in Robotics and AI,10.3389/frobt.2021.688275,https://doi.org/10.3389/frobt.2021.688275,15,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,contact/friction regime,contact-mode changes and localized physical mismatch,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,9,High-priority prior work for boundary checking.,"<jats:p>The control of the interaction between the robot and environment, following a predefined geometric surface path with high accuracy, is a fundamental problem for contact-rich tasks such as machining, polishing, or grinding. Flexible path-following control presents numerous applications in emerging industry fields such as disassembly and recycling, where the control system must adapt to a range of dissimilar object classes, where the properties of the environment are uncertain. We present an end-to-end framework for trajectory-independent robotic path following for contact-rich tasks in the presence of parametric uncertainties. We formulate a combination of model predictive control with image-based path planning and real-time visual feedback, based on a learned state-space dynamic model. For modeling the dynamics of the robot-environment system during contact, we introduce the application of the differentiable neural computer, a type of memory augmented neural network (MANN). Although MANNs have been as yet unexplored in a control context, we demonstrate a reduction in RMS error of <jats:inline-formula><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" id=""m1""><mml:mo>∼</mml:mo></mml:math></jats:inline-formula>21.0% compared with an equivalent Long Short-Term Memory (LSTM) architecture. Our framework was validated in simulation, demonstrating the ability to generalize to materials previously unseen in the training dataset.</jats:p>"
3,hostile_prior_work,Primitive Action Based Combined Task and Motion Planning for the Service Robot,2022,Jeongmin Jeon; Hong-ryul Jung; Francisco Yumbla; Tuan Anh Luong; Hyungpil Moon,Frontiers in Robotics and AI,10.3389/frobt.2022.713470,https://doi.org/10.3389/frobt.2022.713470,14,task and motion planning robot,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,confidence is enough to expose deployment-critical errors,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,9,High-priority prior work for boundary checking.,"<jats:p>The need for combined task and motion planning (CTAMP) in robotics is well known as robotic technologies become more mature. The goal of CTAMP is to determine a proper sequence of a robot’s actions based on symbolic and geometric reasoning. Because of the fundamental difference in symbolic and geometric reasoning, a CTAMP system often requires an interface module between the two reasoning modules. We propose a CTAMP system in which a symbolic action sequence is generated in task planning, and each action is verified geometrically in motion planning using the off-the-shelf planners and reasoners. The approach is that a set of action models is defined with PDDL in the interface module (action library) and the required information to each planner is automatically provided by the interface module. The proposed method was successfully implemented in three simulated experiments that involve manipulation tasks. According to our findings, the proposed method is effective in responding to changes in the environment and uncertainty with errors in recognition of the environment and the robot motion control.</jats:p>"
4,hostile_prior_work,Human skill integrated motion planning of assembly manipulation for 6R industrial robot,2019,Yi Liu; Ming Cong; Hang Dong; Dong Liu,Industrial Robot: the international journal of robotics research and application,10.1108/ir-09-2018-0189,https://doi.org/10.1108/ir-09-2018-0189,3,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,contact/friction regime,contact-mode changes and localized physical mismatch,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,9,High-priority prior work for boundary checking.,"<jats:sec> <jats:title content-type=""abstract-subheading"">Purpose</jats:title> <jats:p>The purpose of this paper is to propose a new method based on three-dimensional (3D) vision technologies and human skill integrated deep learning to solve assembly positioning task such as peg-in-hole.</jats:p> </jats:sec> <jats:sec> <jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title> <jats:p>Hybrid camera configuration was used to provide the global and local views. Eye-in-hand mode guided the peg to be in contact with the hole plate using 3D vision in global view. When the peg was in contact with the workpiece surface, eye-to-hand mode provided the local view to accomplish peg-hole positioning based on trained CNN.</jats:p> </jats:sec> <jats:sec> <jats:title content-type=""abstract-subheading"">Findings</jats:title> <jats:p>The results of assembly positioning experiments proved that the proposed method successfully distinguished the target hole from the other same size holes according to the CNN. The robot planned the motion according to the depth images and human skill guide line. The final positioning precision was good enough for the robot to carry out force controlled assembly.</jats:p> </jats:sec> <jats:sec> <jats:title content-type=""abstract-subheading"">Practical implications</jats:title> <jats:p>The developed framework can have an important impact on robotic assembly positioning process, which combine with the existing force-guidance assembly technology as to build a whole set of autonomous assembly technology.</jats:p> </jats:sec> <jats:sec> <jats:title content-type=""abstract-subheading"">Originality/value</jats:title> <jats:p>This paper proposed a new approach to the robotic assembly positioning based on 3D visual technologies and human skill integrated deep learning. Dual cameras swapping mode was used to provide visual feedback for the entire assembly motion planning process. The proposed workpiece positioning method provided an effective disturbance rejection, autonomous motion planning and increased overall performance with depth images feedback. The proposed peg-hole positioning method with human skill integrated provided the capability of target perceptual aliasing avoiding and successive motion decision for the robotic assembly manipulation.</jats:p> </jats:sec>"
5,hostile_prior_work,Development of a Multifunctional Mobile Manipulation Robot Based on Hierarchical Motion Planning Strategy and Hybrid Grasping,2025,Yuning Cao; Xianli Wang; Zehao Wu; Qingsong Xu,Robotics,10.3390/robotics14070096,https://doi.org/10.3390/robotics14070096,2,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,9,High-priority prior work for boundary checking.,"<jats:p>A mobile manipulation robot combines the navigation capability of unmanned ground vehicles and manipulation advantage of robotic arms. However, the development of a mobile manipulation robot is challenging due to the integration requirement of numerous heterogeneous subsystems. In this paper, we propose a multifunctional mobile manipulation robot by integrating perception, mapping, navigation, object detection, and grasping functions into a seamless workflow to conduct search-and-fetch tasks. To realize navigation and collision avoidance in complex environments, a new hierarchical motion planning strategy is proposed by fusing global and local planners. Control Lyapunov Function (CLF) and Control Barrier Function (CBF) are employed to realize path tracking and to guarantee safety during navigation. The convolutional neural network and the gripper’s kinematic constraints are adopted to construct a learning-optimization hybrid grasping algorithm to generate precise grasping poses. The efficiency of the developed mobile manipulation robot is demonstrated by performing indoor fetching experiments, showcasing its promising capabilities in real-world applications.</jats:p>"
6,hostile_prior_work,Control-Aware Motion Planning for Task-Constrained Aerial Manipulation,2018,Marco Tognon; Elisabetta Cataldi; Hermes Amadeus Tello Chavez; Gianluca Antonelli; Juan Cortes; Antonio Franchi,IEEE Robotics and Automation Letters,10.1109/lra.2018.2803206,https://doi.org/10.1109/lra.2018.2803206,41,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
7,hostile_prior_work,Pre- and post-grasping robot motion planning to capture and stabilize a tumbling/drifting free-floater with uncertain dynamics,2013,Farhad Aghili,2013 IEEE International Conference on Robotics and Automation,10.1109/icra.2013.6631360,https://doi.org/10.1109/icra.2013.6631360,24,robot learned dynamics model planning,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
8,hostile_prior_work,A Motion Planning Approach for Nonprehensile Manipulation and Locomotion Tasks of a Legged Robot,2020,Guoteng Zhang; Shugen Ma; Yayi Shen; Yibin Li,IEEE Transactions on Robotics,10.1109/tro.2019.2961049,https://doi.org/10.1109/tro.2019.2961049,24,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
9,hostile_prior_work,Motion planning of robot fingertips for graspless manipulation,2004,Y. Maeda; T. Nakamura; T. Arai,"IEEE International Conference on Robotics and Automation, 2004. Proceedings. ICRA '04. 2004",10.1109/robot.2004.1307509,https://doi.org/10.1109/robot.2004.1307509,23,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
10,hostile_prior_work,"Autonomous Underwater Manipulation: Current Trends in Dynamics, Control, Planning, Perception, and Future Directions",2022,Edward Morgan; Ignacio Carlucho; William Ard; Corina Barbalata,Current Robotics Reports,10.1007/s43154-022-00089-2,https://doi.org/10.1007/s43154-022-00089-2,18,robot planning control manipulation world model,Crossref,"Plan or control embodied robot behavior with learned, symbolic, or hybrid models.",planning/control over a learned or hybrid dynamics model,the chosen representation exposes the repair-critical physical variables,planner response and observability assumptions,planner-exploited false transitions and execution-time counterexamples,broad learned dynamics / planning claims,how embodied counterexamples should rewrite the model used by planning,8,High-priority prior work for boundary checking.,
